player,position,predicted_fantasy_points,conference,team,predicted_fantasy_points_ppr,model,position_rank,position_rank_ppr
Jett Carpenter,TE,24.017600000000026,Mountain West,,,no_pick,36,
Chase Roberts,WR,23.947999999999983,Big 12,,,no_pick,122,
Ethan Davis,TE,23.911400000000036,SEC,,,no_pick,37,
Kyron Drones,QB,23.889899999999965,ACC,,,no_pick,69,
Jaden Platt,TE,23.85590000000002,SEC,,,no_pick,38,
Camryn Edwards,RB,23.8387,FBS Independents,,,no_pick,90,
Bryson Barnes,QB,23.647099999999973,Mountain West,,,no_pick,70,
John Mateer,QB,22.893899999999952,SEC,,,no_pick,71,
Conner Weigman,QB,22.513799999999996,Big 12,,,no_pick,72,
Jyrin Johnson,TE,22.482099999999978,Mid-American,,,no_pick,39,
Brady Boyd,WR,22.47120000000002,Mountain West,,,no_pick,123,
Raphael Williams,WR,22.016600000000004,ACC,,,no_pick,124,
Evan Pryor,RB,21.940399999999997,Big 12,,,no_pick,91,
Dylan Wade,TE,21.90999999999997,Big 12,,,no_pick,40,
Omarion Miller,WR,21.52330000000001,Big 12,,,no_pick,125,
Toby Payne,TE,21.249799999999983,Sun Belt,,,no_pick,41,
Anthony Brown,WR,19.948499999999996,American Athletic,,,no_pick,126,
Sieh Bangura,RB,19.253200000000007,Mid-American,,,no_pick,92,
Jalon Daniels,QB,19.21129999999999,Big 12,,,no_pick,73,
Kejon Owens,RB,18.929200000000012,Conference USA,,,no_pick,93,
Marcus Sanders Jr.,WR,18.85800000000003,Sun Belt,,,no_pick,127,
Rohan Jones,TE,18.60849999999999,SEC,,,no_pick,42,
Jordan Hudson,WR,18.363800000000058,ACC,,,no_pick,128,
JC French,QB,17.99029999999997,Sun Belt,,,no_pick,74,
Broc Lowry,QB,17.977399999999996,Mid-American,,,no_pick,75,
Haynes King,QB,17.606000000000016,ACC,,,no_pick,76,
Avery Johnson,QB,17.043699999999987,Big 12,,,no_pick,77,
Chamon Metayer,TE,16.18449999999998,Big 12,,,no_pick,43,
Boden Groen,TE,16.12729999999997,Big 12,,,no_pick,44,
Zevi Eckhaus,QB,14.7092,Pac-12,,,no_pick,78,
Jalen Buckley,RB,12.610700000000024,Mid-American,,,no_pick,94,
Caleb Komolafe,RB,12.2322,Big Ten,,,no_pick,95,
